Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,SkyWest,Northwest Airlines,TWA,Air Canada,IAG,Air France-KLM,Ryanair,easyJet,Deutsche Lufthansa,Finnair,Singapore Airlines,Qantas Airways,Cathay Pacific,LATAM Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Qatar Airways,Aeroflot,Turkish Airlines
Status,public,public,public,public,public,public,public,merged with Delta 2008,"bankrupt 2001, acquired by AA",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,private,"taken private 2023, war",public
Country,US,US,US,US,US,US,US,US,US,CA,EU,EU,EU,EU,EU,EU,SG,AU,HK,CL,CN,CN,CN,CN,QA,RU,TR
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,China,China,China,China,Middle East,Russia,Turkey
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,OO,NW,TW,AC,,AF/KL,FR,U2,LH,AY,SQ,QF,CX,LA,CA,MU,CZ,HU,QR,SU,TK
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017'Q1,"40,762 M","39,872 M","20,503 M","36,865 M","6,417 M","6,691 M","3,078 M",,,"11,428 M","24,728 M","30,861 M","7,533 M","6,227 M",,"2,684 M","10,990 M","12,114 M","12,084 M","9,686 M","17,188 M","15,451 M","17,459 M","6,709 M","10,851 M","8,610 M",
2017'Q2,"41,382 M","40,294 M","20,718 M","37,171 M","6,910 M","6,798 M","3,093 M",,,"11,922 M","25,669 M","30,598 M","7,959 M","6,403 M",,"2,847 M","11,344 M","12,199 M","12,206 M","9,845 M","17,808 M","15,924 M","18,359 M","7,583 M","11,088 M","8,884 M",
2017'Q3,"42,002 M","40,716 M","20,932 M","37,478 M","7,402 M","6,905 M","3,108 M",,,"12,417 M","26,610 M","30,334 M","8,385 M","6,579 M",,"3,010 M","11,697 M","12,283 M","12,328 M","10,005 M","18,427 M","16,397 M","19,259 M","8,456 M","11,326 M","9,158 M",
2017'Q4,"42,622 M","41,138 M","21,146 M","37,784 M","7,894 M","7,012 M","3,123 M",,,"12,911 M","27,550 M","30,071 M","8,811 M","6,755 M",,"3,173 M","12,050 M","12,367 M","12,450 M","10,164 M","19,047 M","16,870 M","20,159 M","9,329 M","11,564 M","9,431 M","10,893 M"
2018'Q1,"43,102 M","41,963 M","21,351 M","38,664 M","7,987 M","7,174 M","3,147 M",,,"12,982 M","27,649 M","30,205 M","8,770 M","6,993 M",,"3,212 M","12,047 M","12,440 M","12,882 M","10,228 M","19,424 M","17,087 M","20,535 M","9,533 M","11,989 M","9,320 M","11,368 M"
2018'Q2,"43,582 M","42,788 M","21,556 M","39,544 M","8,079 M","7,335 M","3,172 M",,,"13,054 M","27,748 M","30,339 M","8,729 M","7,232 M",,"3,251 M","12,044 M","12,513 M","13,313 M","10,293 M","19,800 M","17,303 M","20,911 M","9,736 M","12,415 M","9,209 M","11,842 M"
2018'Q3,"44,061 M","43,613 M","21,760 M","40,423 M","8,172 M","7,497 M","3,197 M",,,"13,126 M","27,846 M","30,473 M","8,689 M","7,470 M",,"3,291 M","12,042 M","12,586 M","13,745 M","10,357 M","20,177 M","17,520 M","21,287 M","9,940 M","12,840 M","9,098 M","12,317 M"
2018'Q4,"44,541 M","44,438 M","21,965 M","41,303 M","8,264 M","7,658 M","3,222 M",,,"13,198 M","27,945 M","30,607 M","8,648 M","7,709 M","18,415 M","3,330 M","12,039 M","12,659 M","14,177 M","10,422 M","20,554 M","17,737 M","21,663 M","10,144 M","13,266 M","8,986 M","12,791 M"
2019'Q1,"44,848 M","45,080 M","22,081 M","41,792 M","8,393 M","7,767 M","3,159 M",,,"13,561 M","28,122 M","22,955 M","8,813 M","7,754 M","18,382 M","3,383 M","11,832 M","12,601 M","14,067 M","10,424 M","20,430 M","17,885 M","21,948 M","10,266 M","13,423 M","9,528 M","12,883 M"
2019'Q2,"45,155 M","45,723 M","22,197 M","42,281 M","8,523 M","7,876 M","3,097 M",,,"13,924 M","28,299 M","15,304 M","8,977 M","7,799 M","18,348 M","3,437 M","11,626 M","12,542 M","13,957 M","10,426 M","20,307 M","18,033 M","22,232 M","10,388 M","13,579 M","10,070 M","12,976 M"
